0, 0.0 0.0 0.5 0.582891881188 0.37330283237 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
1, 0.0 0.0 0.5 0.582978226898 0.373504471098 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
2, 0.0 0.0 0.5 0.583064572607 0.373706109827 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
3, 0.0 0.0 0.5 0.583150918317 0.373907748555 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
4, 0.0 0.0 0.5 0.583237264026 0.374109387283 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
5, 0.0 0.0 0.5 0.583323609736 0.374311026012 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
6, 0.0 0.0 0.5 0.583409955446 0.37451266474 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
7, 0.0 0.0 0.5 0.583496301155 0.374714303468 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
8, 0.0 0.0 0.5 0.583582646865 0.374915942197 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
9, 0.0 0.0 0.5 0.583668992574 0.375117580925 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
10, 0.0 0.0 0.5 0.583755338284 0.375319219653 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
11, 0.0 0.0 0.5 0.583841683993 0.375520858382 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
12, 0.0 0.0 0.5 0.583928029703 0.37572249711 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
13, 0.0 0.0 0.5 0.584014375413 0.375924135838 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
14, 0.0 0.0 0.5 0.584100721122 0.376125774566 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
15, 0.0 0.0 0.5 0.584187066832 0.376327413295 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
16, 0.0 0.0 0.5 0.584273412541 0.376529052023 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
17, 0.0 0.0 0.5 0.584359758251 0.376730690751 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
18, 0.0 0.0 0.5 0.58444610396 0.37693232948 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
19, 0.0 0.0 0.5 0.58453244967 0.377133968208 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
20, 0.0 0.0 0.5 0.58461879538 0.377335606936 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
21, 0.0 0.0 0.5 0.584705141089 0.377537245665 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
22, 0.0 0.0 0.5 0.584791486799 0.377738884393 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
23, 0.0 0.0 0.5 0.584877832508 0.377940523121 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
24, 0.0 0.0 0.5 0.584964178218 0.37814216185 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
25, 0.0 0.0 0.5 0.585050523927 0.378343800578 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
